usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,cost_type
2025-11-08,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.09,token
2025-11-08,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.01,token
2025-11-09,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.04,token
2025-11-09,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.00,token
2025-11-10,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.99,token
2025-11-10,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.17,token
2025-11-11,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.72,token
2025-11-11,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.11,token
2025-11-12,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.34,token
2025-11-12,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.06,token
2025-11-14,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.04,token
2025-11-14,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.01,token
2025-11-15,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.01,token
2025-11-15,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.00,token
2025-11-16,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.32,token
2025-11-16,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.05,token
2025-11-17,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,1.50,token
2025-11-17,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.25,token
2025-11-17,Claude Sonnet 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,2.07,token
2025-11-17,Claude Sonnet 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.03,token
2025-11-18,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.01,token
2025-11-18,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.00,token
2025-11-19,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.01,token
2025-11-19,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.00,token
2025-11-22,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.33,token
2025-11-22,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.06,token
2025-11-25,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.05,token
2025-11-25,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.01,token
2025-11-29,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.01,token
2025-11-29,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.00,token
2025-12-01,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.04,token
2025-12-01,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.01,token
2025-12-02,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.04,token
2025-12-02,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.01,token
2025-12-05,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.06,token
2025-12-05,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.02,token
2025-12-06,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.91,token
2025-12-06,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.56,token
2025-12-07,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,input_no_cache,0.11,token
2025-12-07,Claude Haiku 4.5,Default,agentic-ai-engineering-course,message,≤ 200k,output,0.06,token
