id,name,website,phone,employee_count,description,notes,created_at,updated_at,account_id,employee_count_range_id,funding_stage_id,revenue_range_id,founding_year,headquarters_city,headquarters_state,headquarters_country,company_type,linkedin_url,crunchbase_url
1,Poly AI,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,1,,,,,,,USA,,,
2,Crustdata,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,2,,,,,,,USA,,,
3,city of new york,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,3,,,,,,,USA,,,
4,zeta global,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,4,,,,,,,USA,,,
5,linda werner,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,5,,,,,,,USA,,,
6,kofas northamerica insurance co.,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,6,,,,,,,USA,,,
7,Peloton,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,7,,,,,,,USA,,,
8,Consumer Edge,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,8,,,,,,,USA,,,
9,ZocDoc,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:25:13+00,9,,,,,,,USA,,,
10,Quizlet,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,10,,,,,,,USA,,,
11,BitGo,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,11,,,,,,,USA,,,
12,Capitalize,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,12,,,,,,,USA,,,
13,Vestwell,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,13,,,,,,,USA,,,
14,Vesto,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,14,,,,,,,USA,,,
15,Western & Southern Financial,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,15,,,,,,,USA,,,
16,Bronx Defenders,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,16,,,,,,,USA,,,
17,Hudson Valley Credit Union,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,17,,,,,,,USA,,,
18,IBM,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,18,,,,,,,USA,,,
19,Pryon,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,19,,,,,,,USA,,,
20,Nourish,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,20,,,,,,,USA,,,
21,Adonis.io,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,21,,,,,,,USA,,,
22,Harmonic,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,22,,,,,,,USA,,,
23,Asana,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,23,,,,,,,USA,,,
24,Cooperidge Consulting,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,24,,,,,,,USA,,,
25,Coast,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,25,,,,,,,USA,,,
26,April,,,,,,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,26,,,,,,,USA,,,
